Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,"Agadeem, the Undercrypt",ZNR,,,,,,
main,1,Akroma's Will,CMR,,,,,,
main,1,Anguished Unmaking,SOI,,,,,,
main,1,Anointed Procession,AKH,,,,,,
main,1,Arcane Signet,C20,,,,,,
main,1,Arid Mesa,MH2,,,,,,
main,1,Banner of Kinship,FDN,,,,,,
main,1,Black Market Connections,CLB,,,,,,
main,1,Blade of the Bloodchief,C17,,,,,,
main,1,Bleachbone Verge,DFT,,,,,,
main,1,Blind Obedience,RVR,,,,,,
main,1,Blood Artist,INR,,,,,,
main,1,Blood Crypt,RNA,,,,,,
main,1,Bloodline Keeper,INR,,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Bloodthirsty Conqueror,FDN,,,,,,
main,1,Boros Charm,C13,,,,,,
main,1,Butcher of Malakir,WWK,,,,,,
main,1,Captivating Vampire,INR,,,,,,
main,1,Cathars' Crusade,INR,,,,,,
main,1,Charismatic Conqueror,LCC,,,,,,
main,1,City of Brass,5ED,,,,,,
main,1,Command Tower,C17,,,,,,
main,1,Cordial Vampire,MH1,,,,,,
main,1,Cruel Celebrant,WAR,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Dusk Legion Duelist,MOM,,,,,,
main,1,Edgar Markov,C17,,,,,,True
main,1,"Edgar, Charmed Groom",VOW,,,,,,
main,1,"Elenda, the Dusk Rose",RIX,,,,,,
main,1,Emeritus of Woe,SOS,,,,,,
main,1,Exquisite Blood,AVR,,,,,,
main,1,Fellwar Stone,DRK,,,,,,
main,1,Fetid Heath,A25,,,,,,
main,1,"Florian, Voldaren Scion",MID,,,,,,
main,1,Forerunner of the Legion,RIX,,,,,,
main,1,Gamble,DMR,,,,,,
main,1,Generous Gift,H1R,,,,,,
main,1,Godless Shrine,RNA,,,,,,
main,1,Impact Tremors,WOT,,,,,,
main,1,Indulgent Aristocrat,INR,,,,,,
main,1,Legion Lieutenant,RIX,,,,,,
main,1,Marsh Flats,MH2,,,,,,
main,1,Master of Dark Rites,LCC,,,,,,
main,1,"Mavren Fein, Dusk Apostle",XLN,,,,,,
main,1,Olivia Voldaren,INR,,,,,,
main,1,"Olivia, Crimson Bride",DBL,,,,,,
main,1,Orzhov Signet,SLD,,,,,,
main,3,Plains,VOW,,,,,,
main,1,Rakdos Signet,SLD,,,,,,
main,1,Rakish Heir,ISD,,,,,,
main,1,Reflecting Pool,TMP,,,,,,
main,1,Renewed Solidarity,DRC,,,,,,
main,1,Ruinous Ultimatum,IKO,,,,,,
main,1,Sacred Foundry,GRN,,,,,,
main,1,Sanctum Seeker,XLN,,,,,,
main,1,Sanguine Bond,,,,,,,
main,1,Savai Triome,IKO,,,,,,
main,1,Scheming Silvertongue,SOS,,,,,,
main,1,Shared Animosity,MOR,,,,,,
main,1,Shattered Sanctum,SOS,,,,,,
main,1,Skullclamp,C17,,,,,,
main,1,Sol Ring,C17,,,,,,
main,1,Sorin the Mirthless,VOW,,,,,,
main,1,"Sorin, Imperious Bloodlord",INR,,,,,,
main,1,"Sorin, Lord of Innistrad",DKA,,,,,,
main,1,"Sorin, Solemn Visitor",KTK,,,,,,
main,1,Stensian Sanguinist,SOC,,,,,,
main,1,Stromkirk Captain,DKA,,,,,,
main,14,Swamp,VOW,,,,,,
main,1,Swords to Plowshares,CMR,,,,,,
main,1,Talisman of Hierarchy,MH1,,,,,,
main,1,Talisman of Indulgence,MRD,,,,,,
main,1,The Meathook Massacre,INR,,,,,,
main,1,Three Tree City,BLB,,,,,,
main,1,Trouble in Pairs,MKC,,,,,,
main,1,Turbulent Moor,SOC,,,,,,
main,1,Umbral Expanse,SOC,,,,,,
main,1,Vampiric Tutor,EMA,,,,,,
main,1,Vault of Champions,CMR,,,,,,
main,1,Viscera Seer,CMR,,,,,,
main,1,"Vito, Thorn of the Dusk Rose",000,,,,,,
main,1,Voldaren Estate,VOW,,,,,,
main,1,Warleader's Call,MKM,,,,,,
main,1,Welcoming Vampire,VOW,,,,,,
